2025,4,6,NMY,1B,CES,R303
2025,4,7,HXYA,1B,PTH,R303
2025,4,8,KCK,1B,CL,CR2
2025,4,8,KYM,1B,CL,CR1
2025,4,9,KCK,1B,CL,CR2
2025,4,9,KYM,1B,CL,CR1
2025,4,10,LHCA,1B,Read,R303
2025,5,1,LHYB,1B,HIST,R303
2025,5,2,LHYB,1B,HIST,R303
2025,5,3,HCHA,1B,MUS,MUS
2025,5,3,HXYA,1B,MUS,MUS
2025,5,4,HCHA,1B,MUS,MUS
2025,5,4,HXYA,1B,MUS,MUS
2025,5,5,TKYA,1B,ENG,R312
2025,5,5,CMYA,1B,ENG,R303
2025,5,5,SHLA,1B,ENG,R321
2025,5,5,LCM,1B,ENG,ERC
2025,5,6,KCHA,1B,MATH,R303
2025,5,7,KCHA,1B,MATH,R303
2025,5,8,NMY,1B,BMVE,R303
2025,5,9,NMY,1B,BMVE,R303
2025,5,10,PCS,1B,CHIN,R303
2025,1,1,TIS,1C,PE,PG2
2025,1,2,TIS,1C,PE,PG2
2025,1,3,WSWA,1C,GEOG,R301
2025,1,4,WSWA,1C,GEOG,R301
2025,1,5,NHCA,1C,MATH,R301
2025,1,6,YTL,1C,ENG,R301
2025,1,6,LCM,1C,ENG,R301
2025,1,7,NKWA,1C,SCJ,R301
2025,1,8,NSK,1C,VA,DF
2025,1,9,NSK,1C,VA,DF
2025,1,10,LEW,1C,CHIN,R301
2025,2,1,LHYB,1C,HIST,R301
2025,2,2,LHYB,1C,HIST,R301
2025,2,3,NHCA,1C,MATH,R301
2025,2,4,NHCA,1C,MATH,R301
2025,2,5,NMY,1C,CES,R301
2025,2,6,NMY,1C,CES,R301
2025,2,7,YTL,1C,ENG,R301
2025,2,8,NMY,1C,BMVE,R301
2025,2,9,NMY,1C,BMVE,R301
2025,2,10,WWH,1C,Read,R301
2025,3,1,KYM,1C,CL,CR1
2025,3,1,LWKA,1C,CL,CR3
2025,3,2,KYM,1C,CL,CR1
2025,3,2,LWKA,1C,CL,CR3
2025,3,3,NHCA,1C,MATH,R301
2025,3,4,LEW,1C,CHIN,R301
2025,3,5,FCQA,1C,ENG,R301
2025,3,5,YTL,1C,ENG,R301
2025,3,6,NKWA,1C,SCJ,BIO
2025,3,7,NKWA,1C,SCJ,BIO
2025,3,8,LEW,1C,ARD,R301
2025,3,9,KCHA,1C,CPA,R301
2025,3,9,LEW,1C,CPA,R301
2025,3,9,WWH,1C,CPA,R301
2025,4,1,LEW,1C,CHIN,R301
2025,4,1,PKK,1C,CHIN,R301
2025,4,2,LEW,1C,CHIN,R301
2025,4,2,PKK,1C,CHIN,R301
2025,4,3,YTL,1C,ENG,R301
2025,4,4,YTL,1C,ENG,R301
2025,4,5,HCHA,1C,MUS,MUS
2025,4,5,HXYA,1C,MUS,MUS
2025,4,6,HCHA,1C,MUS,MUS
2025,4,6,HXYA,1C,MUS,MUS
2025,4,7,NHCA,1C,MATH,R301
2025,4,8,NKWA,1C,SCJ,BIO
2025,4,9,NKWA,1C,SCJ,BIO
2025,4,10,HCHA,1C,Read,R301
2025,5,1,LYMA,1C,STEAM,HTSC
2025,5,1,WWH,1C,STEAM,HTSC
2025,5,2,LYMA,1C,STEAM,HTSC
2025,5,2,WWH,1C,STEAM,HTSC
2025,5,3,YTL,1C,ENG,R301
2025,5,4,YTL,1C,ENG,R301
2025,5,5,LEW,1C,CHIS,R301
2025,5,6,LEW,1C,CHIS,R301
2025,5,7,HXYA,1C,PTH,R301
2025,5,8,NHCA,1C,MATH,R301
2025,5,9,LEW,1C,CHIN,R301
2025,5,10,LEW,1C,CHIN,R301
2025,1,1,LEW,1D,CHIN,R313
2025,1,2,FMKA,1D,SCJ,R313
2025,1,3,LHYB,1D,HIST,R313
2025,1,4,LHYB,1D,HIST,R313
2025,1,5,YTL,1D,ENG,R313
2025,1,6,LYMA,1D,STEAM,KFIC
2025,1,6,WWH,1D,STEAM,KFIC
2025,1,7,LYMA,1D,STEAM,KFIC
2025,1,7,WWH,1D,STEAM,KFIC
2025,1,8,LKYA,1D,MATH,R313
2025,1,9,NMY,1D,BMVE,R313
2025,1,10,NMY,1D,BMVE,R313
2025,2,1,FMKA,1D,SCJ,BIO
2025,2,2,FMKA,1D,SCJ,BIO
2025,2,3,LEW,1D,CHIN,R313
2025,2,3,PKK,1D,CHIN,R313
2025,2,4,LEW,1D,CHIN,R313
2025,2,4,PKK,1D,CHIN,R313
2025,2,5,YTL,1D,ENG,R313
2025,2,6,LKYA,1D,MATH,R313
2025,2,7,LKYA,1D,MATH,R313
2025,2,8,WSWA,1D,GEOG,R313
2025,2,9,WSWA,1D,GEOG,R313
2025,2,10,KCK,1D,Read,R313
2025,3,1,LKYA,1D,MATH,R313
2025,3,2,LEW,1D,CHIN,R313
2025,3,3,HCHA,1D,MUS,MUS
2025,3,3,HXYA,1D,MUS,MUS
2025,3,4,HCHA,1D,MUS,MUS
2025,3,4,HXYA,1D,MUS,MUS
2025,3,5,HXYA,1D,PTH,R313
2025,3,6,YTL,1D,ENG,R313
2025,3,7,YTL,1D,ENG,R313
2025,3,8,LKYA,1D,ARD,R313
2025,3,9,CSYA,1D,CPA,R313
2025,3,9,KCK,1D,CPA,R313
2025,3,9,LKYA,1D,CPA,R313
2025,4,1,YTL,1D,ENG,R313
2025,4,2,YTL,1D,ENG,R313
2025,4,3,LEW,1D,CHIN,R313
2025,4,4,LEW,1D,CHIN,R313
2025,4,5,LKYA,1D,PE,PG2
2025,4,6,LKYA,1D,PE,PG2
2025,4,7,LKYA,1D,MATH,R313
2025,4,8,LEW,1D,CHIS,R313
2025,4,9,LEW,1D,CHIS,R313
2025,4,10,CSYA,1D,Read,R313
2025,5,1,KYM,1D,CL,CR1
2025,5,1,KCK,1D,CL,CR2
2025,5,2,KYM,1D,CL,CR1
2025,5,2,KCK,1D,CL,CR2
2025,5,3,FMKA,1D,SCJ,BIO
2025,5,4,FMKA,1D,SCJ,BIO
2025,5,5,LTYA,1D,CES,R313
2025,5,6,LTYA,1D,CES,R313
2025,5,7,YTL,1D,ENG,R313
2025,5,7,FCQA,1D,ENG,R313
2025,5,8,LKYA,1D,MATH,R313
2025,5,9,CSYA,1D,VA,DF
2025,5,10,CSYA,1D,VA,DF
2025,1,1,KCK,2A,CL,CR2
2025,1,1,KYM,2A,CL,CR1
2025,1,2,KCK,2A,CL,CR2
2025,1,2,KYM,2A,CL,CR1
2025,1,3,LTYA,2A,STEAM,KFIC
2025,1,3,WWH,2A,STEAM,KFIC
2025,1,4,LTYA,2A,STEAM,KFIC
2025,1,4,WWH,2A,STEAM,KFIC
2025,1,5,LKYA,2A,PE,PG1
2025,1,6,LKYA,2A,PE,PG1
2025,1,7,YBK,2A,MATH,R302
2025,1,8,HCHA,2A,MUS,MUS
2025,1,9,HCHA,2A,MUS,MUS
